,period,inter,direc,cycle,type,pollutant,emi,sim,fuel
765,morning1,Hwy401,NB,12,21,Total Energy,6065705398.860001,0,333.9413912266112
769,morning1,Hwy401,NB,11,21,Total Energy,6136137694.190001,0,452.81933336382514
773,morning1,Hwy401,NB,10,21,Total Energy,5292572790.77,0,301.10542322543967
776,morning1,Hwy401,NB,9,21,Total Energy,4278567358.71,0,537.6343929521122
779,morning1,Hwy401,NB,8,21,Total Energy,6509910754.55,0,296.27354579466044
783,morning1,Hwy401,NB,7,21,Total Energy,5156066501.809999,0,319.36941365328397
786,morning1,Hwy401,NB,6,21,Total Energy,4303329095.440001,0,276.9718150414394
789,morning1,Hwy401,NB,5,21,Total Energy,3828260562.23,0,437.5767363780127
792,morning1,Hwy401,NB,4,21,Total Energy,5857093561.82,0,846.7476091964197
796,morning1,Hwy401,NB,3,21,Total Energy,3498187488.5059996,0,254.95144377271808
798,morning1,Hwy401,NB,2,21,Total Energy,5172829907.27,0,299.7449369348414
802,morning1,Hwy401,NB,1,21,Total Energy,6146498307.38,0,387.36156156445463
803,morning2,Dunbar,SB,35,21,Total Energy,2972358040.206,0,297.31764392445234
804,morning2,Dunbar,SB,34,21,Total Energy,2718641396.25,0,362.1970658767729
807,morning2,Dunbar,SB,33,21,Total Energy,2387151604.91,0,216.57361964544026
809,morning2,Dunbar,SB,32,21,Total Energy,3642349014.797,0,286.3965158763206
811,morning2,Dunbar,SB,31,21,Total Energy,3870942611.37,0,364.3791554732312
814,morning2,Dunbar,SB,30,21,Total Energy,3685065191.697,0,323.2456378510032
817,morning2,Dunbar,SB,29,21,Total Energy,6202735387.41,0,313.7911815481842
819,morning2,Dunbar,SB,28,21,Total Energy,1346723211.283,0,143.80749062602146
822,morning2,Dunbar,SB,27,21,Total Energy,2794559826.3970003,0,115.96403796841624
825,morning2,Dunbar,SB,26,21,Total Energy,2954345042.6280003,0,157.7315583740403
828,morning2,Dunbar,SB,25,21,Total Energy,3331966888.5540004,0,331.60676778826087
829,morning2,Dunbar,SB,24,21,Total Energy,3432659239.791,0,319.00629419299673
832,morning2,Dunbar,SB,23,21,Total Energy,3696313902.754,0,455.8194516143484
834,morning2,Dunbar,SB,22,21,Total Energy,3035442148.488,0,138.03643971839702
838,morning2,Dunbar,SB,21,21,Total Energy,2727214789.854,0,180.48671455836327
840,morning2,Dunbar,SB,20,21,Total Energy,1764866725.1379998,0,153.01658364777418
841,morning2,Dunbar,SB,19,21,Total Energy,2928731050.07,0,316.4614159434378
845,morning2,Dunbar,SB,18,21,Total Energy,4047727099.01,0,491.9223623943824
847,morning2,Dunbar,SB,17,21,Total Energy,3661731010.8890004,0,260.8798981036224
849,morning2,Dunbar,SB,16,21,Total Energy,3540706234.294,0,275.6451291308352
851,morning2,Dunbar,SB,15,21,Total Energy,5600674198.5,0,504.40637207458747
854,morning2,Dunbar,SB,14,21,Total Energy,3466250004.318,0,207.2320769011054
856,morning2,Dunbar,SB,13,21,Total Energy,3796554186.75,0,363.2667871486382
857,morning2,Dunbar,SB,12,21,Total Energy,1748609929.2270002,0,185.6113722170413
860,morning2,Dunbar,SB,11,21,Total Energy,1036719567.65,0,107.22954114430858
863,morning2,Dunbar,SB,10,21,Total Energy,2855685548.662,0,360.2825748516214
864,morning2,Dunbar,SB,9,21,Total Energy,3940514377.61,0,329.3860714757159
866,morning2,Dunbar,SB,8,21,Total Energy,4763695528.48,0,405.9559073709658
869,morning2,Dunbar,SB,7,21,Total Energy,5833696047.07,0,604.0769506631162
872,morning2,Dunbar,SB,6,21,Total Energy,2422778755.05,0,376.75568330577994
873,morning2,Dunbar,SB,5,21,Total Energy,2062693087.714,0,133.73037486562419
876,morning2,Dunbar,SB,4,21,Total Energy,3241886699.6,0,333.83782762804105
879,morning2,Dunbar,SB,3,21,Total Energy,3026324354.65,0,436.7389703211844
881,morning2,Dunbar,SB,2,21,Total Energy,2074843101.312,0,215.187824399019
883,morning2,Dunbar,SB,1,21,Total Energy,1952101250.24,0,271.30686430075815
884,morning2,Bishop,NB,45,21,Total Energy,3943165847.99,0,446.9329497397801
886,morning2,Bishop,NB,44,21,Total Energy,6564919194.29,0,274.0079507426687
888,morning2,Bishop,NB,43,21,Total Energy,7887025253.77,0,344.29542128742116
891,morning2,Bishop,NB,42,21,Total Energy,5843936844.889999,0,547.2609058179323
894,morning2,Bishop,NB,41,21,Total Energy,4948997182.41,0,551.410158683438
896,morning2,Bishop,NB,40,21,Total Energy,3009903584.505,0,227.70215949973274
897,morning2,Bishop,NB,39,21,Total Energy,5768383176.92,0,191.43397851348445
899,morning2,Bishop,NB,38,21,Total Energy,5332191957.690001,0,579.9358191397976
903,morning2,Bishop,NB,37,21,Total Energy,5300004107.16,0,344.0528403689176
906,morning2,Bishop,NB,36,21,Total Energy,6450019156.35,0,254.67954041717445
908,morning2,Bishop,NB,35,21,Total Energy,3901399675.9,0,355.27738928974236
911,morning2,Bishop,NB,34,21,Total Energy,4585527883.91,0,602.9901893672384
914,morning2,Bishop,NB,33,21,Total Energy,6246086200.889999,0,385.54410107951134
917,morning2,Bishop,NB,32,21,Total Energy,9055860281.03,0,352.5629199956749
919,morning2,Bishop,NB,31,21,Total Energy,4556357400.360001,0,358.5611316770696
923,morning2,Bishop,NB,30,21,Total Energy,4214114998.82,0,440.9260286405232
924,morning2,Bishop,NB,29,21,Total Energy,7875365819.87,0,335.99445287781174
926,morning2,Bishop,NB,28,21,Total Energy,9574078121.8,0,418.9572729027787
927,morning2,Bishop,NB,27,21,Total Energy,6133840316.46,0,289.06238807052864
929,morning2,Bishop,NB,26,21,Total Energy,4741301084.15,0,532.4882978790948
930,morning2,Bishop,NB,25,21,Total Energy,4929014347.940001,0,189.83208900462355
932,morning2,Bishop,NB,24,21,Total Energy,8404623370.8,0,391.7730406150498
936,morning2,Bishop,NB,23,21,Total Energy,9842220776.99,0,369.26252371355065
940,morning2,Bishop,NB,22,21,Total Energy,8419041676.27,0,790.8365628735536
942,morning2,Bishop,NB,21,21,Total Energy,7246291999.91,0,781.7118770226201
944,morning2,Bishop,NB,20,21,Total Energy,4022521876.32,0,336.7520770340486
947,morning2,Bishop,NB,19,21,Total Energy,4970635764.110001,0,352.20658672448644
949,morning2,Bishop,NB,18,21,Total Energy,5486965072.49,0,677.7017904578317
952,morning2,Bishop,NB,17,21,Total Energy,6112670857.29,0,393.796061522894
954,morning2,Bishop,NB,16,21,Total Energy,4029003585.47,0,550.3457482536406
956,morning2,Bishop,NB,15,21,Total Energy,5896212861.07,0,295.9257516561624
959,morning2,Bishop,NB,14,21,Total Energy,8178598251.1,0,324.90594071894463
962,morning2,Bishop,NB,13,21,Total Energy,6771884764.72,0,247.27691918083343
964,morning2,Bishop,NB,12,21,Total Energy,5567158970.74,0,385.53730466414964
967,morning2,Bishop,NB,11,21,Total Energy,9896693784.82,0,766.9665761034837
969,morning2,Bishop,NB,10,21,Total Energy,6530547955.21,0,767.6517104378287
971,morning2,Bishop,NB,9,21,Total Energy,3943395113.11,0,161.5128791309823
974,morning2,Bishop,NB,8,21,Total Energy,7776524184.18,0,574.5107038902045
976,morning2,Bishop,NB,7,21,Total Energy,6040910011.88,0,610.9831420543218
978,morning2,Bishop,NB,6,21,Total Energy,4551758941.04,0,393.3324409370748
979,morning2,Bishop,NB,5,21,Total Energy,6843598952.08,0,332.4493127047021
982,morning2,Bishop,NB,4,21,Total Energy,10591725806.55,0,520.8810586104977
986,morning2,Bishop,NB,3,21,Total Energy,7901513841.860002,0,435.36390504559336
989,morning2,Bishop,NB,2,21,Total Energy,6430488301.2,0,426.93232053418814
992,morning2,Bishop,NB,1,21,Total Energy,6600827911.12,0,479.60367697361886
994,morning2,Bishop,SB,45,21,Total Energy,2879927909.85,0,207.8565888842064
996,morning2,Bishop,SB,44,21,Total Energy,3219212060.27,0,215.83333023581588
998,morning2,Bishop,SB,43,21,Total Energy,4632042316.2,0,342.17894097045337
1001,morning2,Bishop,SB,42,21,Total Energy,3830633867.4,0,387.5350778497921
1003,morning2,Bishop,SB,41,21,Total Energy,3458323412.749,0,367.55281766831774
1006,morning2,Bishop,SB,40,21,Total Energy,3874657455.56,0,574.0652339814417
1008,morning2,Bishop,SB,39,21,Total Energy,4468764969.75,0,288.36715787870867
1010,morning2,Bishop,SB,38,21,Total Energy,5125195954.7,0,603.7709211459613
1013,morning2,Bishop,SB,37,21,Total Energy,4004996859.66,0,266.72617734137606
1016,morning2,Bishop,SB,36,21,Total Energy,4971412142.690001,0,492.77183300583465
1018,morning2,Bishop,SB,35,21,Total Energy,4112407528.91,0,655.4209374367832
1021,morning2,Bishop,SB,34,21,Total Energy,1094468972.471,0,90.16824912419581
1025,morning2,Bishop,SB,33,21,Total Energy,3677092769.198,0,279.3157207459745
1029,morning2,Bishop,SB,32,21,Total Energy,4526967839.09,0,525.3084465329607
1033,morning2,Bishop,SB,31,21,Total Energy,3115715337.053,0,558.6074491883236
1036,morning2,Bishop,SB,30,21,Total Energy,4185484100.45,0,291.2357595244688
1039,morning2,Bishop,SB,29,21,Total Energy,5879357902.04,0,194.06527466248338
1043,morning2,Bishop,SB,28,21,Total Energy,4530980542.360001,0,300.2877736805079
1047,morning2,Bishop,SB,27,21,Total Energy,3615989713.552,0,466.1388535487183
1051,morning2,Bishop,SB,26,21,Total Energy,4064095972.17,0,525.2890189857803
1052,morning2,Bishop,SB,25,21,Total Energy,4371831746.07,0,224.16576794004717
1055,morning2,Bishop,SB,24,21,Total Energy,3914467609.26,0,190.0080101367385
1058,morning2,Bishop,SB,23,21,Total Energy,4754948433.79,0,246.68333188066669
1061,morning2,Bishop,SB,22,21,Total Energy,6344970961.55,0,471.4421456331111
1063,morning2,Bishop,SB,21,21,Total Energy,4156738510.35,0,262.3596891816107
1065,morning2,Bishop,SB,20,21,Total Energy,4996365514.25,0,282.58481805074416
1069,morning2,Bishop,SB,19,21,Total Energy,4315377315.93,0,385.12445028073455
1073,morning2,Bishop,SB,18,21,Total Energy,4052828352.73,0,335.5642867890407
1076,morning2,Bishop,SB,17,21,Total Energy,6336436953.43,0,451.35093779321164
1079,morning2,Bishop,SB,16,21,Total Energy,3481439029.7609997,0,317.7632170418103
1081,morning2,Bishop,SB,15,21,Total Energy,5000927596.68,0,389.92058265372765
1083,morning2,Bishop,SB,14,21,Total Energy,4340005011.860001,0,477.1122651751738
1086,morning2,Bishop,SB,13,21,Total Energy,2446930532.2520003,0,338.56023847030764
1090,morning2,Bishop,SB,12,21,Total Energy,3604709757.697,0,173.13299813632713
1093,morning2,Bishop,SB,11,21,Total Energy,4979333985.71,0,609.6059622249595
1095,morning2,Bishop,SB,10,21,Total Energy,4012026441.12,0,422.80517375224196
1097,morning2,Bishop,SB,9,21,Total Energy,4579414865.389999,0,474.4779379337867
1100,morning2,Bishop,SB,8,21,Total Energy,5410974013.42,0,390.61060600406756
1103,morning2,Bishop,SB,7,21,Total Energy,5725515102.18,0,529.7704602518058
1106,morning2,Bishop,SB,6,21,Total Energy,2909531539.9540005,0,490.1363536260333
1108,morning2,Bishop,SB,5,21,Total Energy,1199068326.838,0,94.209228346448
1111,morning2,Bishop,SB,4,21,Total Energy,4675419616.84,0,335.0638795997647
1114,morning2,Bishop,SB,3,21,Total Energy,5051246997.559999,0,517.7565856665509
1117,morning2,Bishop,SB,2,21,Total Energy,4788588615.95,0,138.44224621056398
1120,morning2,Bishop,SB,1,21,Total Energy,4907435349.23,0,460.71543554812285
1123,morning2,Sheldon,NB,38,21,Total Energy,6486619491.889999,0,717.2482974557346
1125,morning2,Sheldon,NB,37,21,Total Energy,4812955751.1,0,513.4769484339516
1128,morning2,Sheldon,NB,36,21,Total Energy,6509744740.05,0,767.579000546111
1130,morning2,Sheldon,NB,35,21,Total Energy,5037577044.1,0,478.8614834717082
1131,morning2,Sheldon,NB,34,21,Total Energy,5817621916.08,0,491.0670926631905
1133,morning2,Sheldon,NB,33,21,Total Energy,5955022884.68,0,451.25133320112315
1136,morning2,Sheldon,NB,32,21,Total Energy,5625154461.22,0,714.081318803387
1138,morning2,Sheldon,NB,31,21,Total Energy,4337832732.360001,0,752.809651738925
1141,morning2,Sheldon,NB,30,21,Total Energy,3971545677.08,0,535.3355230566074
1145,morning2,Sheldon,NB,29,21,Total Energy,7759264730.23,0,1003.0922119299147
1148,morning2,Sheldon,NB,28,21,Total Energy,5704101850.34,0,1096.909398278613
1151,morning2,Sheldon,NB,27,21,Total Energy,5943715779.8,0,602.0080186734929
1153,morning2,Sheldon,NB,26,21,Total Energy,9227077109.95,0,1108.839575854698
1156,morning2,Sheldon,NB,25,21,Total Energy,4838565938.45,0,1074.6409385425893
1158,morning2,Sheldon,NB,24,21,Total Energy,5270551406.33,0,473.15015894195517
1159,morning2,Sheldon,NB,23,21,Total Energy,6370908953.860001,0,655.8223274830907
1161,morning2,Sheldon,NB,22,21,Total Energy,5684868363.72,0,908.4226352378553
1165,morning2,Sheldon,NB,21,21,Total Energy,6494577734.84,0,601.2676890473974
1167,morning2,Sheldon,NB,20,21,Total Energy,3555746675.694,0,643.8316120901989
1169,morning2,Sheldon,NB,19,21,Total Energy,4994475278.63,0,883.7241343402754
1171,morning2,Sheldon,NB,18,21,Total Energy,3326417725.52,0,537.5793179611856
1173,morning2,Sheldon,NB,17,21,Total Energy,6181016103.84,0,917.4201216563686
1175,morning2,Sheldon,NB,16,21,Total Energy,7585010983.9,0,544.6732275015087
1177,morning2,Sheldon,NB,15,21,Total Energy,7948359399.0,0,760.4960524389978
1179,morning2,Sheldon,NB,14,21,Total Energy,7178467520.389998,0,742.7246025925232
1182,morning2,Sheldon,NB,13,21,Total Energy,9122481286.95,0,642.7375352619948
1185,morning2,Sheldon,NB,12,21,Total Energy,6873894568.22,0,440.6761337618209
1189,morning2,Sheldon,NB,11,21,Total Energy,10661052255.13,0,632.3114851088377
1192,morning2,Sheldon,NB,10,21,Total Energy,6993080039.15,0,1136.4118139356087
1194,morning2,Sheldon,NB,9,21,Total Energy,5445073995.25,0,602.7723523677895
1197,morning2,Sheldon,NB,8,21,Total Energy,8074556239.1,0,1203.6084435130272
1199,morning2,Sheldon,NB,7,21,Total Energy,6338208006.92,0,653.8828881555529
1201,morning2,Sheldon,NB,6,21,Total Energy,5675361863.389999,0,421.68321853462515
1204,morning2,Sheldon,NB,5,21,Total Energy,7679710270.08,0,651.9615416505343
1207,morning2,Sheldon,NB,4,21,Total Energy,4942767457.58,0,794.9756264718442
1209,morning2,Sheldon,NB,3,21,Total Energy,5312202627.13,0,595.4110039401961
1212,morning2,Sheldon,NB,2,21,Total Energy,5418802184.639999,0,529.7881493824729
1214,morning2,Sheldon,NB,1,21,Total Energy,7771477023.4400015,0,859.5758130545711
1217,morning2,Sheldon,SB,38,21,Total Energy,2635106292.098,0,190.31540708154017
1219,morning2,Sheldon,SB,37,21,Total Energy,4895635142.49,0,230.244157843218
1222,morning2,Sheldon,SB,36,21,Total Energy,4509070989.91,0,641.2285036320853
1225,morning2,Sheldon,SB,35,21,Total Energy,4364097379.2,0,538.9942534413103
1228,morning2,Sheldon,SB,34,21,Total Energy,7378730958.41,0,1008.7605982793933
1231,morning2,Sheldon,SB,33,21,Total Energy,4957994804.32,0,319.98686648919073
1233,morning2,Sheldon,SB,32,21,Total Energy,4434456433.66,0,854.7143582851361
1236,morning2,Sheldon,SB,31,21,Total Energy,3429585969.843,0,375.0835706288223
1239,morning2,Sheldon,SB,30,21,Total Energy,6910759773.26,0,429.527727019589
1240,morning2,Sheldon,SB,29,21,Total Energy,3064950655.822,0,743.6728668616875
1243,morning2,Sheldon,SB,28,21,Total Energy,4706445473.639999,0,641.0074901870595
1247,morning2,Sheldon,SB,27,21,Total Energy,4428229552.940001,0,142.17057139935466
1251,morning2,Sheldon,SB,26,21,Total Energy,7245131474.6900015,0,460.51001321334456
1254,morning2,Sheldon,SB,25,21,Total Energy,3859753489.15,0,709.0572456171616
1257,morning2,Sheldon,SB,24,21,Total Energy,5957611540.690001,0,670.4608750466181
1261,morning2,Sheldon,SB,23,21,Total Energy,5702038057.13,0,394.53592402249967
1265,morning2,Sheldon,SB,22,21,Total Energy,4825446758.41,0,358.25995763570256
1268,morning2,Sheldon,SB,21,21,Total Energy,3646348152.8320003,0,193.96162694349
1271,morning2,Sheldon,SB,20,21,Total Energy,3149973322.648,0,351.6442524816577
1274,morning2,Sheldon,SB,19,21,Total Energy,5986969264.15,0,331.7255753923975
1277,morning2,Sheldon,SB,18,21,Total Energy,4756865193.83,0,619.4373868730911
1280,morning2,Sheldon,SB,17,21,Total Energy,3919524163.57,0,210.15941368249665
1284,morning2,Sheldon,SB,16,21,Total Energy,4066802990.1,0,466.2037221516857
1288,morning2,Sheldon,SB,15,21,Total Energy,4342601498.0,0,691.6276810161099
1291,morning2,Sheldon,SB,14,21,Total Energy,3581085577.16,0,239.80119019503968
1294,morning2,Sheldon,SB,13,21,Total Energy,4083479030.53,0,679.3977695807281
1296,morning2,Sheldon,SB,12,21,Total Energy,3286707040.317,0,502.6610783821868
1297,morning2,Sheldon,SB,11,21,Total Energy,2043753597.492,0,196.42079860390538
1300,morning2,Sheldon,SB,10,21,Total Energy,4967075759.97,0,303.3795810135564
1303,morning2,Sheldon,SB,9,21,Total Energy,5391475514.78,0,737.7030821186718
1306,morning2,Sheldon,SB,8,21,Total Energy,3596252405.9890003,0,451.88825212429947
1308,morning2,Sheldon,SB,7,21,Total Energy,1902928839.951,0,220.8607213172833
1311,morning2,Sheldon,SB,6,21,Total Energy,4448152108.690001,0,746.0392897867949
1314,morning2,Sheldon,SB,5,21,Total Energy,6341662611.32,0,377.4410473018218
1317,morning2,Sheldon,SB,4,21,Total Energy,4661943746.52,0,428.1393460933528
1320,morning2,Sheldon,SB,3,21,Total Energy,3212149209.104,0,554.0288119216001
1323,morning2,Sheldon,SB,2,21,Total Energy,3797829527.69,0,228.91492184640853
1325,morning2,Sheldon,SB,1,21,Total Energy,3813540072.65,0,271.9279269515528
1327,morning2,Pinebush,NB,26,21,Total Energy,8476161959.25,0,463.5567860412273
1329,morning2,Pinebush,NB,25,21,Total Energy,7231184635.82,0,462.8731404560432
1331,morning2,Pinebush,NB,24,21,Total Energy,4458387461.51,0,271.9668369340676
1334,morning2,Pinebush,NB,23,21,Total Energy,7904311338.4400015,0,305.7886895476885
1337,morning2,Pinebush,NB,22,21,Total Energy,7722696172.639998,0,362.3909511373673
1341,morning2,Pinebush,NB,21,21,Total Energy,7277184199.73,0,437.9833486459275
1345,morning2,Pinebush,NB,20,21,Total Energy,8034428715.74,0,540.8617877751751
1349,morning2,Pinebush,NB,19,21,Total Energy,6666081152.72,0,345.71403272833743
1351,morning2,Pinebush,NB,18,21,Total Energy,9841889291.72,0,640.9006547916965
1354,morning2,Pinebush,NB,17,21,Total Energy,5082236119.83,0,251.23772889346586
1357,morning2,Pinebush,NB,16,21,Total Energy,12168330505.88,0,537.8364517925178
1361,morning2,Pinebush,NB,15,21,Total Energy,8698972995.93,0,466.1372115270754
1363,morning2,Pinebush,NB,14,21,Total Energy,4799004063.91,0,185.97596506709098
1366,morning2,Pinebush,NB,13,21,Total Energy,6333988963.26,0,444.18537502841934
1368,morning2,Pinebush,NB,12,21,Total Energy,8025645772.9,0,333.402157890983
1371,morning2,Pinebush,NB,11,21,Total Energy,6689899641.75,0,583.9034028701341
1373,morning2,Pinebush,NB,10,21,Total Energy,7390425264.59,0,289.79307187490843
1376,morning2,Pinebush,NB,9,21,Total Energy,8902547028.380001,0,716.4506063479288
1380,morning2,Pinebush,NB,8,21,Total Energy,8745494175.84,0,440.37125575740305
1383,morning2,Pinebush,NB,7,21,Total Energy,6609760343.6,0,420.5639596180845
1386,morning2,Pinebush,NB,6,21,Total Energy,6292743413.83,0,409.32656274336404
1389,morning2,Pinebush,NB,5,21,Total Energy,5934277322.13,0,261.74898116195925
1392,morning2,Pinebush,NB,4,21,Total Energy,8921506759.92,0,560.4723130305002
1395,morning2,Pinebush,NB,3,21,Total Energy,8468542903.34,0,597.6358782912716
1398,morning2,Pinebush,NB,2,21,Total Energy,8086392938.17,0,390.2778562793595
1400,morning2,Pinebush,NB,1,21,Total Energy,7328234431.4400015,0,407.82262363056213
1402,morning2,Pinebush,SB,26,21,Total Energy,5164763328.0,0,302.71583162071516
1403,morning2,Pinebush,SB,25,21,Total Energy,3306741681.3929996,0,342.25179634009965
1405,morning2,Pinebush,SB,24,21,Total Energy,2237340532.452,0,132.29392333322798
1408,morning2,Pinebush,SB,23,21,Total Energy,6249953908.13,0,152.6779514282346
1410,morning2,Pinebush,SB,22,21,Total Energy,6411141027.91,0,105.14547321228355
1413,morning2,Pinebush,SB,21,21,Total Energy,3530491160.481,0,296.94778542422387
1414,morning2,Pinebush,SB,20,21,Total Energy,718655027.06,0,52.170996514298885
1417,morning2,Pinebush,SB,19,21,Total Energy,2579486429.711,0,81.65235241233856
1420,morning2,Pinebush,SB,18,21,Total Energy,3830608542.77,0,262.83904567259987
1423,morning2,Pinebush,SB,17,21,Total Energy,2097534672.186,0,80.73177097163884
1425,morning2,Pinebush,SB,16,21,Total Energy,2713406777.0030003,0,64.32015311828944
1428,morning2,Pinebush,SB,15,21,Total Energy,3679292543.5829997,0,143.63446402114266
1431,morning2,Pinebush,SB,14,21,Total Energy,2401481392.247,0,78.55748741624495
1434,morning2,Pinebush,SB,13,21,Total Energy,2449283442.149,0,249.88484158773926
1436,morning2,Pinebush,SB,12,21,Total Energy,2672544233.304,0,66.3508348804655
1440,morning2,Pinebush,SB,11,21,Total Energy,4790693238.92,0,176.95350862156758
1443,morning2,Pinebush,SB,10,21,Total Energy,3841408023.92,0,386.18189852460665
1445,morning2,Pinebush,SB,9,21,Total Energy,2729859273.061,0,75.4794822143834
1447,morning2,Pinebush,SB,8,21,Total Energy,3582228111.944,0,176.13064586473484
1450,morning2,Pinebush,SB,7,21,Total Energy,2637492790.227,0,244.40648327273485
1453,morning2,Pinebush,SB,6,21,Total Energy,5057388102.98,0,220.4222934238948
1456,morning2,Pinebush,SB,5,21,Total Energy,3876483262.31,0,174.01665880658302
1459,morning2,Pinebush,SB,4,21,Total Energy,3696128512.8890004,0,271.56938511303235
1461,morning2,Pinebush,SB,3,21,Total Energy,6460187356.35,0,188.71284185006772
1465,morning2,Pinebush,SB,2,21,Total Energy,5480096997.34,0,362.0771236299467
1467,morning2,Pinebush,SB,1,21,Total Energy,2426089867.1229997,0,168.57918553294957
1471,morning2,Hwy401,NB,45,21,Total Energy,8350743309.5599985,0,614.0934608145487
1475,morning2,Hwy401,NB,44,21,Total Energy,4592833040.17,0,185.4842201959184
1479,morning2,Hwy401,NB,43,21,Total Energy,4127275180.5,0,241.11177144540906
1481,morning2,Hwy401,NB,42,21,Total Energy,5934873727.65,0,267.3146123799913
1484,morning2,Hwy401,NB,41,21,Total Energy,6203670700.48,0,523.2726943595943
1487,morning2,Hwy401,NB,40,21,Total Energy,7956725414.7,0,846.4694704589623
1490,morning2,Hwy401,NB,39,21,Total Energy,5073696654.690001,0,214.76819123251067
1494,morning2,Hwy401,NB,38,21,Total Energy,5177526625.85,0,610.975182012545
1498,morning2,Hwy401,NB,37,21,Total Energy,5319397334.8,0,240.87646570821136
1502,morning2,Hwy401,NB,36,21,Total Energy,5226748966.95,0,331.2928664428974
1506,morning2,Hwy401,NB,35,21,Total Energy,3950827869.42,0,354.13714672846703
1509,morning2,Hwy401,NB,34,21,Total Energy,3525328322.809,0,414.52977464318667
1513,morning2,Hwy401,NB,33,21,Total Energy,6101153748.190001,0,620.3719043191834
1516,morning2,Hwy401,NB,32,21,Total Energy,9229104512.88,0,420.36355654577653
1519,morning2,Hwy401,NB,31,21,Total Energy,6231726785.059999,0,457.98748545034437
1523,morning2,Hwy401,NB,30,21,Total Energy,6884968054.55,0,409.76325374447146
1526,morning2,Hwy401,NB,29,21,Total Energy,4288261689.78,0,419.1384598260773
1528,morning2,Hwy401,NB,28,21,Total Energy,7692589149.84,0,841.3303245392772
1530,morning2,Hwy401,NB,27,21,Total Energy,2158232712.622,0,266.68718120751305
1534,morning2,Hwy401,NB,26,21,Total Energy,5495933403.0,0,483.06301314233184
1536,morning2,Hwy401,NB,25,21,Total Energy,4171586443.35,0,304.71491305510614
1539,morning2,Hwy401,NB,24,21,Total Energy,5530189369.74,0,562.5434004285039
1542,morning2,Hwy401,NB,23,21,Total Energy,6137906720.13,0,286.11036872710184
1544,morning2,Hwy401,NB,22,21,Total Energy,3028647807.283,0,183.10300226700008
1546,morning2,Hwy401,NB,21,21,Total Energy,6597199723.809999,0,397.90958786205147
1550,morning2,Hwy401,NB,20,21,Total Energy,4680501535.96,0,318.15657360167313
1553,morning2,Hwy401,NB,19,21,Total Energy,5786589074.74,0,416.63959108090376
1556,morning2,Hwy401,NB,18,21,Total Energy,4907753008.610001,0,279.2703448765863
1559,morning2,Hwy401,NB,17,21,Total Energy,3953306913.55,0,340.1765984091156
1561,morning2,Hwy401,NB,16,21,Total Energy,9359215056.56,0,783.0633641511487
1565,morning2,Hwy401,NB,15,21,Total Energy,8610985408.2,0,417.28024357674826
1569,morning2,Hwy401,NB,14,21,Total Energy,6840305179.55,0,655.7659462022099
1572,morning2,Hwy401,NB,13,21,Total Energy,6783455503.05,0,184.7004631109763
1575,morning2,Hwy401,NB,12,21,Total Energy,5875270349.41,0,275.3108643488718
1577,morning2,Hwy401,NB,11,21,Total Energy,5856682109.71,0,461.3172962024585
