,period,inter,direc,cycle,type,pollutant,emi,sim,fuel
1581,morning2,Hwy401,NB,10,21,Total Energy,7345677228.48,0,497.36301008230936
1585,morning2,Hwy401,NB,9,21,Total Energy,6645879006.23,0,530.1541275581259
1587,morning2,Hwy401,NB,8,21,Total Energy,8689340678.65,0,298.48706831683165
1590,morning2,Hwy401,NB,7,21,Total Energy,7598723839.76,0,454.81703281874223
1593,morning2,Hwy401,NB,6,21,Total Energy,7027959633.18,0,273.39426627037756
1596,morning2,Hwy401,NB,5,21,Total Energy,7725073111.59,0,686.9939417061464
1599,morning2,Hwy401,NB,4,21,Total Energy,7488836617.63,0,285.5817879293512
1602,morning2,Hwy401,NB,3,21,Total Energy,7241344803.07,0,372.25652519252924
1605,morning2,Hwy401,NB,2,21,Total Energy,4818504439.41,0,325.51063605488946
1606,morning2,Hwy401,NB,1,21,Total Energy,6988176504.83,0,405.80086344581355
1608,morning3,Dunbar,SB,35,21,Total Energy,5400982445.09,0,643.8139021332618
1611,morning3,Dunbar,SB,34,21,Total Energy,2381904237.249,0,289.44484828595796
1614,morning3,Dunbar,SB,33,21,Total Energy,3534948419.6270003,0,281.25256587156747
1617,morning3,Dunbar,SB,32,21,Total Energy,2287640023.3570004,0,257.5842338478496
1620,morning3,Dunbar,SB,31,21,Total Energy,1821770377.3579998,0,289.4118893928803
1623,morning3,Dunbar,SB,30,21,Total Energy,2126967991.793,0,259.7942415957731
1625,morning3,Dunbar,SB,29,21,Total Energy,3952546996.54,0,439.3883740834935
1628,morning3,Dunbar,SB,28,21,Total Energy,3515651840.189,0,244.31160725859775
1631,morning3,Dunbar,SB,27,21,Total Energy,4228140822.33,0,252.42809764649482
1633,morning3,Dunbar,SB,26,21,Total Energy,3187474182.886,0,362.5852132431536
1635,morning3,Dunbar,SB,25,21,Total Energy,5082986438.78,0,375.76933325103585
1638,morning3,Dunbar,SB,24,21,Total Energy,6667932180.46,0,921.0584133663646
1641,morning3,Dunbar,SB,23,21,Total Energy,5107161170.41,0,286.18602387849666
1644,morning3,Dunbar,SB,22,21,Total Energy,3828984302.33,0,316.26475051879225
1647,morning3,Dunbar,SB,21,21,Total Energy,4879444959.639999,0,291.1129596350977
1649,morning3,Dunbar,SB,20,21,Total Energy,4576092103.940001,0,237.9333200968771
1652,morning3,Dunbar,SB,19,21,Total Energy,3580640023.376,0,184.68894335307647
1654,morning3,Dunbar,SB,18,21,Total Energy,6124583215.79,0,206.5843888531448
1655,morning3,Dunbar,SB,17,21,Total Energy,3836367326.74,0,276.3228589799508
1658,morning3,Dunbar,SB,16,21,Total Energy,3897551621.76,0,437.96005303948135
1660,morning3,Dunbar,SB,15,21,Total Energy,4605389991.28,0,515.5644499055313
1662,morning3,Dunbar,SB,14,21,Total Energy,3747667835.37,0,571.5223980909079
1663,morning3,Dunbar,SB,13,21,Total Energy,2967970937.9820004,0,389.50729485227373
1666,morning3,Dunbar,SB,12,21,Total Energy,3930317520.95,0,256.34735433512265
1669,morning3,Dunbar,SB,11,21,Total Energy,5770897000.32,0,254.9043935454632
1672,morning3,Dunbar,SB,10,21,Total Energy,2908279829.8450003,0,257.3320622356775
1675,morning3,Dunbar,SB,9,21,Total Energy,3318846451.995,0,418.6937458672205
1678,morning3,Dunbar,SB,8,21,Total Energy,2555188783.2790003,0,228.31094381772385
1680,morning3,Dunbar,SB,7,21,Total Energy,2782927701.2040005,0,174.88014606274845
1682,morning3,Dunbar,SB,6,21,Total Energy,4972935322.49,0,439.83066238013566
1685,morning3,Dunbar,SB,5,21,Total Energy,2496216653.537,0,205.06627677814387
1688,morning3,Dunbar,SB,4,21,Total Energy,3426218745.85,0,317.3703696369017
1691,morning3,Dunbar,SB,3,21,Total Energy,4603801552.48,0,351.9303581087665
1693,morning3,Dunbar,SB,2,21,Total Energy,5055174669.51,0,415.5678875178807
1695,morning3,Dunbar,SB,1,21,Total Energy,2447021623.103,0,139.16178347461002
1698,morning3,Bishop,NB,41,21,Total Energy,5307032611.52,0,345.57255332756273
1701,morning3,Bishop,NB,40,21,Total Energy,8153791741.59,0,456.03651778404054
1704,morning3,Bishop,NB,39,21,Total Energy,5498655570.07,0,405.0678471542592
1706,morning3,Bishop,NB,38,21,Total Energy,3938365549.27,0,421.9215912438083
1708,morning3,Bishop,NB,37,21,Total Energy,5645628827.16,0,239.8728625361583
1711,morning3,Bishop,NB,36,21,Total Energy,6369931988.26,0,187.5576757111851
1715,morning3,Bishop,NB,35,21,Total Energy,8414642965.03,0,562.9451288771563
1719,morning3,Bishop,NB,34,21,Total Energy,8761676294.16,0,643.6565905303186
1721,morning3,Bishop,NB,33,21,Total Energy,4990221579.610001,0,657.6618486660658
1723,morning3,Bishop,NB,32,21,Total Energy,4834727895.6,0,422.64128979266405
1726,morning3,Bishop,NB,31,21,Total Energy,6839403707.85,0,390.8282366256106
1729,morning3,Bishop,NB,30,21,Total Energy,3375630666.06,0,128.66996289119007
1733,morning3,Bishop,NB,29,21,Total Energy,6931064070.98,0,168.65080049443318
1737,morning3,Bishop,NB,28,21,Total Energy,8063828588.21,0,584.2571483538297
1740,morning3,Bishop,NB,27,21,Total Energy,6283765361.309999,0,438.7355355041886
1741,morning3,Bishop,NB,26,21,Total Energy,6065937768.47,0,626.301071830453
1743,morning3,Bishop,NB,25,21,Total Energy,5051129379.58,0,403.680540479643
1744,morning3,Bishop,NB,24,21,Total Energy,5825127823.059999,0,382.2218838042098
1748,morning3,Bishop,NB,23,21,Total Energy,3513676101.287,0,158.99915508055338
1750,morning3,Bishop,NB,22,21,Total Energy,3116157280.0940003,0,234.50968589204518
1753,morning3,Bishop,NB,21,21,Total Energy,7694251654.54,0,457.2714930488704
1755,morning3,Bishop,NB,20,21,Total Energy,5920134720.76,0,305.37381597312765
1759,morning3,Bishop,NB,19,21,Total Energy,8529493445.21,0,348.10776794625326
1763,morning3,Bishop,NB,18,21,Total Energy,4945606451.5,0,274.8500392731877
1766,morning3,Bishop,NB,17,21,Total Energy,5930934943.46,0,524.2659803759244
1768,morning3,Bishop,NB,16,21,Total Energy,6722237750.55,0,466.87934078836633
1772,morning3,Bishop,NB,15,21,Total Energy,8540107219.4,0,593.2304644125627
1776,morning3,Bishop,NB,14,21,Total Energy,6136046569.68,0,366.06862437027854
1780,morning3,Bishop,NB,13,21,Total Energy,6027187983.0,0,473.5910198139635
1783,morning3,Bishop,NB,12,21,Total Energy,5490677161.51,0,450.7943847738431
1787,morning3,Bishop,NB,11,21,Total Energy,6542365847.860001,0,324.63028004892817
1790,morning3,Bishop,NB,10,21,Total Energy,5445176662.41,0,383.9247940529552
1792,morning3,Bishop,NB,9,21,Total Energy,5285724009.48,0,611.5450291251025
1794,morning3,Bishop,NB,8,21,Total Energy,4706471040.09,0,436.38800055891136
1795,morning3,Bishop,NB,7,21,Total Energy,4934161859.27,0,432.60176379471903
1798,morning3,Bishop,NB,6,21,Total Energy,7341567066.08,0,418.7131408466881
1800,morning3,Bishop,NB,5,21,Total Energy,7611528732.93,0,213.13130915173915
1801,morning3,Bishop,NB,4,21,Total Energy,7018370692.82,0,503.01238226053914
1802,morning3,Bishop,NB,3,21,Total Energy,7392611484.1900015,0,607.7868963864033
1804,morning3,Bishop,NB,2,21,Total Energy,7128723570.92,0,558.6812498855653
1807,morning3,Bishop,NB,1,21,Total Energy,5035620865.17,0,495.25944641244865
1810,morning3,Bishop,SB,41,21,Total Energy,5321139600.98,0,348.2467974968701
1812,morning3,Bishop,SB,40,21,Total Energy,7057628557.9,0,600.2339357869246
1816,morning3,Bishop,SB,39,21,Total Energy,5639193355.09,0,411.84145638037916
1819,morning3,Bishop,SB,38,21,Total Energy,3456418574.215,0,286.64220145330916
1822,morning3,Bishop,SB,37,21,Total Energy,6828897300.85,0,573.3442514735068
1825,morning3,Bishop,SB,36,21,Total Energy,5939023053.09,0,520.8932481158126
1829,morning3,Bishop,SB,35,21,Total Energy,4994190435.58,0,385.92721100304703
1832,morning3,Bishop,SB,34,21,Total Energy,3960611871.53,0,387.65500407324487
1835,morning3,Bishop,SB,33,21,Total Energy,4985434860.2,0,435.8239560819557
1838,morning3,Bishop,SB,32,21,Total Energy,4400073390.22,0,720.2552336481485
1841,morning3,Bishop,SB,31,21,Total Energy,3346486086.813,0,247.87457982939168
1844,morning3,Bishop,SB,30,21,Total Energy,5267313771.639999,0,566.3657691502909
1847,morning3,Bishop,SB,29,21,Total Energy,4667792252.29,0,573.4492351344003
1850,morning3,Bishop,SB,28,21,Total Energy,3901041120.88,0,239.37876336312675
1854,morning3,Bishop,SB,27,21,Total Energy,7795256821.93,0,623.8697262434733
1857,morning3,Bishop,SB,26,21,Total Energy,4908650068.190001,0,700.1612474444682
1860,morning3,Bishop,SB,25,21,Total Energy,5278140453.23,0,365.3952467287635
1863,morning3,Bishop,SB,24,21,Total Energy,5362696266.16,0,643.8895605664932
1865,morning3,Bishop,SB,23,21,Total Energy,5953227270.59,0,354.7530906250879
1869,morning3,Bishop,SB,22,21,Total Energy,4387545721.41,0,216.29883914310506
1873,morning3,Bishop,SB,21,21,Total Energy,4033741022.34,0,210.82435375728863
1875,morning3,Bishop,SB,20,21,Total Energy,4640921578.63,0,304.5228473994333
1878,morning3,Bishop,SB,19,21,Total Energy,5762382201.08,0,287.11801897291804
1882,morning3,Bishop,SB,18,21,Total Energy,4968495802.190001,0,351.54012806054624
1885,morning3,Bishop,SB,17,21,Total Energy,6102359693.76,0,421.37705664155317
1887,morning3,Bishop,SB,16,21,Total Energy,6019432305.52,0,472.0132916188272
1890,morning3,Bishop,SB,15,21,Total Energy,6768654382.860001,0,699.4561865058963
1893,morning3,Bishop,SB,14,21,Total Energy,3971128293.17,0,425.4330092232486
1896,morning3,Bishop,SB,13,21,Total Energy,4812222400.65,0,481.717534679917
1899,morning3,Bishop,SB,12,21,Total Energy,4970480435.7,0,304.9575985339682
1902,morning3,Bishop,SB,11,21,Total Energy,6050290853.33,0,251.5827141582197
1906,morning3,Bishop,SB,10,21,Total Energy,5860838824.360001,0,555.8957605237305
1909,morning3,Bishop,SB,9,21,Total Energy,5024822806.639999,0,517.0487206969285
1912,morning3,Bishop,SB,8,21,Total Energy,1480681449.336,0,215.70066055622902
1913,morning3,Bishop,SB,7,21,Total Energy,4656106937.7,0,438.6291160278655
1915,morning3,Bishop,SB,6,21,Total Energy,5278962120.17,0,650.0347757713415
1918,morning3,Bishop,SB,5,21,Total Energy,4895986672.1,0,451.19333012350654
1920,morning3,Bishop,SB,4,21,Total Energy,4051430268.69,0,294.09834621195097
1924,morning3,Bishop,SB,3,21,Total Energy,5965090620.29,0,524.5233344951612
1927,morning3,Bishop,SB,2,21,Total Energy,8456129519.71,0,619.5922411770163
1929,morning3,Bishop,SB,1,21,Total Energy,3095667687.532,0,79.40098043552187
1932,morning3,Sheldon,NB,37,21,Total Energy,6977770127.67,0,1083.323913681225
1935,morning3,Sheldon,NB,36,21,Total Energy,5407128504.73,0,589.8353865835472
1937,morning3,Sheldon,NB,35,21,Total Energy,6056300839.37,0,721.2117346492616
1939,morning3,Sheldon,NB,34,21,Total Energy,5777394422.67,0,992.6711325111397
1941,morning3,Sheldon,NB,33,21,Total Energy,5626740480.559999,0,804.8001641421896
1944,morning3,Sheldon,NB,32,21,Total Energy,8900057699.27,0,1037.2977459821589
1947,morning3,Sheldon,NB,31,21,Total Energy,5905521233.51,0,734.5448721624676
1949,morning3,Sheldon,NB,30,21,Total Energy,6528197127.42,0,703.8045204518962
1952,morning3,Sheldon,NB,29,21,Total Energy,6069995075.48,0,623.5995253414593
1954,morning3,Sheldon,NB,28,21,Total Energy,6808290600.87,0,563.4734578945148
1957,morning3,Sheldon,NB,27,21,Total Energy,7208987868.42,0,566.8985510003288
1961,morning3,Sheldon,NB,26,21,Total Energy,9317828172.82,0,724.7210772449753
1963,morning3,Sheldon,NB,25,21,Total Energy,3806610000.75,0,231.8049548024264
1965,morning3,Sheldon,NB,24,21,Total Energy,7520598963.96,0,580.5001000256046
1966,morning3,Sheldon,NB,23,21,Total Energy,4709427362.29,0,377.72577919245003
1968,morning3,Sheldon,NB,22,21,Total Energy,6973714548.37,0,436.9279974661208
1971,morning3,Sheldon,NB,21,21,Total Energy,6805220253.17,0,613.7344374457957
1973,morning3,Sheldon,NB,20,21,Total Energy,5264191793.79,0,744.5474286742357
1976,morning3,Sheldon,NB,19,21,Total Energy,6976634653.690001,0,1166.5450102538616
1979,morning3,Sheldon,NB,18,21,Total Energy,10203858178.6,0,1041.4785986431916
1982,morning3,Sheldon,NB,17,21,Total Energy,6022349422.08,0,1164.1595283140052
1985,morning3,Sheldon,NB,16,21,Total Energy,6898748454.65,0,600.3593884501363
1988,morning3,Sheldon,NB,15,21,Total Energy,7449207757.13,0,1033.0735613905135
1991,morning3,Sheldon,NB,14,21,Total Energy,6606536073.02,0,949.4221852602777
1995,morning3,Sheldon,NB,13,21,Total Energy,5637277947.610001,0,829.2773198328019
1998,morning3,Sheldon,NB,12,21,Total Energy,7219889006.0,0,783.794633929803
2002,morning3,Sheldon,NB,11,21,Total Energy,9601120859.12,0,822.7248776836252
2005,morning3,Sheldon,NB,10,21,Total Energy,5080485882.97,0,630.8059972161365
2006,morning3,Sheldon,NB,9,21,Total Energy,7041605403.42,0,688.6889942373479
2007,morning3,Sheldon,NB,8,21,Total Energy,7256850204.26,0,648.7893160128905
2010,morning3,Sheldon,NB,7,21,Total Energy,6690111110.42,0,605.9314037111589
2014,morning3,Sheldon,NB,6,21,Total Energy,8296785048.12,0,823.7498531124206
2017,morning3,Sheldon,NB,5,21,Total Energy,7652750311.73,0,934.382696722684
2018,morning3,Sheldon,NB,4,21,Total Energy,7765864338.22,0,687.9064016891821
2019,morning3,Sheldon,NB,3,21,Total Energy,6390860712.21,0,920.7634812120772
2021,morning3,Sheldon,NB,2,21,Total Energy,4595699677.24,0,742.6449957134904
2023,morning3,Sheldon,NB,1,21,Total Energy,3938810203.16,0,545.7370795631804
2026,morning3,Sheldon,SB,37,21,Total Energy,5817797558.41,0,580.3469967037498
2028,morning3,Sheldon,SB,36,21,Total Energy,5847132482.24,0,402.0427678663915
2031,morning3,Sheldon,SB,35,21,Total Energy,2668415767.481,0,335.36261206783286
2033,morning3,Sheldon,SB,34,21,Total Energy,4691097106.46,0,592.2194565188826
2035,morning3,Sheldon,SB,33,21,Total Energy,4196108358.41,0,295.9472495027144
2038,morning3,Sheldon,SB,32,21,Total Energy,5101348645.3,0,585.0915511773976
2041,morning3,Sheldon,SB,31,21,Total Energy,4433985240.75,0,459.221642081781
2045,morning3,Sheldon,SB,30,21,Total Energy,2347980928.551,0,126.1167300573203
2048,morning3,Sheldon,SB,29,21,Total Energy,6530001148.84,0,499.6626836138959
2051,morning3,Sheldon,SB,28,21,Total Energy,4185764054.89,0,595.0646869187638
2054,morning3,Sheldon,SB,27,21,Total Energy,5080082136.9,0,339.5405962801392
2057,morning3,Sheldon,SB,26,21,Total Energy,6702303816.77,0,519.4725302934486
2060,morning3,Sheldon,SB,25,21,Total Energy,4337297705.37,0,530.9398037606796
2064,morning3,Sheldon,SB,24,21,Total Energy,4016246153.65,0,162.67565098588932
2068,morning3,Sheldon,SB,23,21,Total Energy,7279742874.27,0,424.25831451024885
2071,morning3,Sheldon,SB,22,21,Total Energy,5035621605.34,0,589.7134903036243
2074,morning3,Sheldon,SB,21,21,Total Energy,5234874437.38,0,409.6964430481952
2076,morning3,Sheldon,SB,20,21,Total Energy,6014593818.47,0,471.89636112564006
2079,morning3,Sheldon,SB,19,21,Total Energy,5380792943.48,0,472.3586638368638
2082,morning3,Sheldon,SB,18,21,Total Energy,4054534916.74,0,377.1140627435385
2085,morning3,Sheldon,SB,17,21,Total Energy,6044901539.62,0,403.28876796608813
2088,morning3,Sheldon,SB,16,21,Total Energy,6009298667.82,0,631.9989957111343
2092,morning3,Sheldon,SB,15,21,Total Energy,4544861164.77,0,515.4850794411699
2095,morning3,Sheldon,SB,14,21,Total Energy,4019074926.93,0,438.0321961954849
2098,morning3,Sheldon,SB,13,21,Total Energy,6805915679.43,0,309.8562685803041
2101,morning3,Sheldon,SB,12,21,Total Energy,4985535668.8,0,767.5818841970993
2104,morning3,Sheldon,SB,11,21,Total Energy,5274702117.6,0,510.13426296893545
2107,morning3,Sheldon,SB,10,21,Total Energy,5146368120.42,0,254.91204036347423
2110,morning3,Sheldon,SB,9,21,Total Energy,3925625878.57,0,573.8561878012832
2114,morning3,Sheldon,SB,8,21,Total Energy,4422168513.059999,0,324.7575389975632
2117,morning3,Sheldon,SB,7,21,Total Energy,2425201077.855,0,186.38564736239024
2120,morning3,Sheldon,SB,6,21,Total Energy,2850192692.938,0,349.59668983397387
2122,morning3,Sheldon,SB,5,21,Total Energy,5874474106.52,0,506.0581163988351
2125,morning3,Sheldon,SB,4,21,Total Energy,6019389534.610001,0,305.424638576186
2128,morning3,Sheldon,SB,3,21,Total Energy,4228427525.12,0,252.1784381173639
2131,morning3,Sheldon,SB,2,21,Total Energy,4380086150.23,0,606.9399426643015
2134,morning3,Sheldon,SB,1,21,Total Energy,8130076099.8099985,0,582.1151742382567
2135,morning3,Pinebush,NB,26,21,Total Energy,8057635701.78,0,443.6608295277411
2137,morning3,Pinebush,NB,25,21,Total Energy,7982312983.6,0,337.40410939189195
2139,morning3,Pinebush,NB,24,21,Total Energy,8349532287.8099985,0,358.9722623947888
2142,morning3,Pinebush,NB,23,21,Total Energy,8827928305.6,0,479.590562962717
2144,morning3,Pinebush,NB,22,21,Total Energy,6292730457.07,0,458.8301706278505
2146,morning3,Pinebush,NB,21,21,Total Energy,7136709419.46,0,409.9378359714515
2149,morning3,Pinebush,NB,20,21,Total Energy,6742511551.68,0,305.9745822711571
2153,morning3,Pinebush,NB,19,21,Total Energy,9019853460.45,0,558.909726733291
2156,morning3,Pinebush,NB,18,21,Total Energy,7075000933.4400015,0,399.62272877576515
2158,morning3,Pinebush,NB,17,21,Total Energy,5058230321.940001,0,293.0735661498274
2161,morning3,Pinebush,NB,16,21,Total Energy,6312015691.43,0,338.38762784990774
2163,morning3,Pinebush,NB,15,21,Total Energy,8407983737.37,0,439.78753859370613
2166,morning3,Pinebush,NB,14,21,Total Energy,9373680529.58,0,688.609477917811
2170,morning3,Pinebush,NB,13,21,Total Energy,9648643031.33,0,500.67432470838537
2173,morning3,Pinebush,NB,12,21,Total Energy,8601556624.02,0,487.73069004784037
2176,morning3,Pinebush,NB,11,21,Total Energy,8057125511.1,0,300.3377375217557
2178,morning3,Pinebush,NB,10,21,Total Energy,6415284605.68,0,482.66804654143976
2182,morning3,Pinebush,NB,9,21,Total Energy,7897176856.93,0,479.2423900628546
2185,morning3,Pinebush,NB,8,21,Total Energy,5108093353.57,0,216.78242724421506
2186,morning3,Pinebush,NB,7,21,Total Energy,7909282055.66,0,456.22689529460416
2190,morning3,Pinebush,NB,6,21,Total Energy,8384717299.6,0,307.7210979642245
2192,morning3,Pinebush,NB,5,21,Total Energy,8687449823.119999,0,612.0348014933809
2194,morning3,Pinebush,NB,4,21,Total Energy,6808026362.68,0,310.7202342077751
2196,morning3,Pinebush,NB,3,21,Total Energy,6857982369.47,0,377.1968029494553
2199,morning3,Pinebush,NB,2,21,Total Energy,4718568729.389999,0,290.0282127847892
2201,morning3,Pinebush,NB,1,21,Total Energy,6952492055.41,0,289.89337487014967
2204,morning3,Pinebush,SB,26,21,Total Energy,2356116571.7479997,0,145.72151841045368
2205,morning3,Pinebush,SB,25,21,Total Energy,290863752.8852,0,21.337364104725467
2207,morning3,Pinebush,SB,24,21,Total Energy,3301432863.891,0,73.93255975831306
2209,morning3,Pinebush,SB,23,21,Total Energy,2360971633.809,0,97.75447200461286
2210,morning3,Pinebush,SB,22,21,Total Energy,1247853254.734,0,78.30004214128563
2213,morning3,Pinebush,SB,21,21,Total Energy,2599027779.426,0,302.73413171500937
2215,morning3,Pinebush,SB,20,21,Total Energy,1443517296.575,0,54.737726161477994
2218,morning3,Pinebush,SB,19,21,Total Energy,1862402944.236,0,59.18265724275525
2220,morning3,Pinebush,SB,18,21,Total Energy,3636863330.92,0,116.7188505393071
2223,morning3,Pinebush,SB,17,21,Total Energy,3060909988.192,0,167.33285593555715
2227,morning3,Pinebush,SB,16,21,Total Energy,3129842826.597,0,183.3300404810693
2230,morning3,Pinebush,SB,15,21,Total Energy,4751273314.0,0,160.5403731556658
2233,morning3,Pinebush,SB,14,21,Total Energy,3366782141.269,0,98.96906381163315
2236,morning3,Pinebush,SB,13,21,Total Energy,2704289829.894,0,320.53881593798314
2238,morning3,Pinebush,SB,12,21,Total Energy,2569930544.406,0,227.16874504066845
2241,morning3,Pinebush,SB,11,21,Total Energy,3520177001.311,0,222.1193974012986
2244,morning3,Pinebush,SB,10,21,Total Energy,3270939522.2679996,0,220.8623958022604
2247,morning3,Pinebush,SB,9,21,Total Energy,3065761166.6140003,0,204.42180922790942
2248,morning3,Pinebush,SB,8,21,Total Energy,1201469544.06,0,28.329991131824087
2251,morning3,Pinebush,SB,7,21,Total Energy,2466728315.557,0,66.5691940836642
2255,morning3,Pinebush,SB,6,21,Total Energy,2164169344.0829997,0,171.56814161802617
2257,morning3,Pinebush,SB,5,21,Total Energy,2069847037.311,0,233.7273612055164
2259,morning3,Pinebush,SB,4,21,Total Energy,2325939638.112,0,246.87822647859883
2262,morning3,Pinebush,SB,3,21,Total Energy,3088633690.4700003,0,209.46582165951503
2264,morning3,Pinebush,SB,2,21,Total Energy,4517305817.83,0,184.77336781444873
2267,morning3,Pinebush,SB,1,21,Total Energy,2508737851.6429996,0,126.43085907965605
2269,morning3,Hwy401,NB,47,21,Total Energy,5768547034.65,0,369.1524289495489
2271,morning3,Hwy401,NB,46,21,Total Energy,3368214268.7390003,0,371.89630597763136
2272,morning3,Hwy401,NB,45,21,Total Energy,6635408861.12,0,451.3194206021333
2274,morning3,Hwy401,NB,44,21,Total Energy,6085213473.17,0,227.98560335246304
2276,morning3,Hwy401,NB,43,21,Total Energy,7233546973.55,0,833.6779069876486
2279,morning3,Hwy401,NB,42,21,Total Energy,6485417728.22,0,239.77179266153252
2283,morning3,Hwy401,NB,41,21,Total Energy,8875549206.29,0,682.2109812898242
2285,morning3,Hwy401,NB,40,21,Total Energy,3756790380.22,0,291.6010647330666
2286,morning3,Hwy401,NB,39,21,Total Energy,2263808455.0220003,0,280.9511898646676
2289,morning3,Hwy401,NB,38,21,Total Energy,6615679953.59,0,375.57911435103927
2291,morning3,Hwy401,NB,37,21,Total Energy,2399365617.719,0,252.90110257551663
2294,morning3,Hwy401,NB,36,21,Total Energy,5510928087.09,0,484.30577313477414
2297,morning3,Hwy401,NB,35,21,Total Energy,3490327320.016,0,256.9152332664761
2300,morning3,Hwy401,NB,34,21,Total Energy,5572292097.5,0,469.59635338721773
2303,morning3,Hwy401,NB,33,21,Total Energy,5455900223.51,0,257.83553412501664
2306,morning3,Hwy401,NB,32,21,Total Energy,6774986030.58,0,642.0066067208007
2308,morning3,Hwy401,NB,31,21,Total Energy,4452423294.18,0,192.57085544946383
2310,morning3,Hwy401,NB,30,21,Total Energy,5073688127.18,0,352.1017089160211
2314,morning3,Hwy401,NB,29,21,Total Energy,6504908039.7,0,343.86284903747793
2318,morning3,Hwy401,NB,28,21,Total Energy,6367830688.7,0,502.2884975235479
2321,morning3,Hwy401,NB,27,21,Total Energy,7422211600.17,0,923.4891278838883
2324,morning3,Hwy401,NB,26,21,Total Energy,7305780273.96,0,338.04111541156436
2328,morning3,Hwy401,NB,25,21,Total Energy,8636095282.1,0,843.3809489869298
2331,morning3,Hwy401,NB,24,21,Total Energy,4887076331.29,0,176.31553054701718
2333,morning3,Hwy401,NB,23,21,Total Energy,5006774476.360001,0,213.04480521980045
2335,morning3,Hwy401,NB,22,21,Total Energy,7525392091.76,0,366.8527660343338
2337,morning3,Hwy401,NB,21,21,Total Energy,7584109750.5599985,0,533.0933104713098
2340,morning3,Hwy401,NB,20,21,Total Energy,5824219495.49,0,181.8168140864061
2343,morning3,Hwy401,NB,19,21,Total Energy,6067571736.889999,0,442.5261350503044
2346,morning3,Hwy401,NB,18,21,Total Energy,5184695300.4,0,266.6818420889352
2349,morning3,Hwy401,NB,17,21,Total Energy,3623266647.058,0,290.4210281570905
2353,morning3,Hwy401,NB,16,21,Total Energy,4322831699.440001,0,244.7591417895116
2356,morning3,Hwy401,NB,15,21,Total Energy,2548384139.557,0,251.6025795929561
2360,morning3,Hwy401,NB,14,21,Total Energy,6015862848.95,0,484.6322362072231
2363,morning3,Hwy401,NB,13,21,Total Energy,6107154366.110001,0,258.01113383637994
2364,morning3,Hwy401,NB,12,21,Total Energy,6861363922.389999,0,697.1790753846127
2368,morning3,Hwy401,NB,11,21,Total Energy,8007135685.96,0,335.5993228628164
2371,morning3,Hwy401,NB,10,21,Total Energy,7397505067.87,0,383.82287352692686
2372,morning3,Hwy401,NB,9,21,Total Energy,5305302513.83,0,265.0295286713956
2374,morning3,Hwy401,NB,8,21,Total Energy,3464137360.3290005,0,241.0546842882243
2376,morning3,Hwy401,NB,7,21,Total Energy,5820282094.29,0,248.26040945342527
2378,morning3,Hwy401,NB,6,21,Total Energy,7267405123.110002,0,291.37746271724166
2380,morning3,Hwy401,NB,5,21,Total Energy,4511811359.32,0,220.418309260234
2382,morning3,Hwy401,NB,4,21,Total Energy,3399471143.13,0,193.14521109796618
2386,morning3,Hwy401,NB,3,21,Total Energy,6575300811.95,0,439.94344514258586
2389,morning3,Hwy401,NB,2,21,Total Energy,9029237601.69,0,296.74214607810404
2393,morning3,Hwy401,NB,1,21,Total Energy,6662414013.03,0,522.2177217065383
